epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,1.424779,0.523311,1.78860,0.50840,
002,0.903357,0.320689,1.03199,0.32000,
003,0.705494,0.246756,0.79983,0.26840,
004,0.606514,0.212489,0.67118,0.22740,
005,0.536434,0.184444,0.68679,0.22840,
006,0.487252,0.167667,0.76512,0.23480,
007,0.462198,0.158844,0.52328,0.16960,
008,0.433292,0.149889,0.46841,0.15260,
009,0.408039,0.140800,0.46681,0.15780,
010,0.390009,0.134111,0.43611,0.14560,
011,0.376143,0.129156,0.73049,0.20280,
012,0.368340,0.127844,0.47519,0.15360,
013,0.353532,0.122111,0.42636,0.13900,
014,0.341157,0.119022,0.43626,0.14600,
015,0.337230,0.116822,0.48807,0.16380,
016,0.210523,0.071289,0.25781,0.08540,
017,0.170776,0.057578,0.25441,0.08220,
018,0.155315,0.052311,0.24910,0.08180,
019,0.142790,0.048911,0.24314,0.07480,
020,0.136123,0.046667,0.24083,0.07740,
021,0.124480,0.042311,0.24181,0.07800,
022,0.118743,0.040311,0.24859,0.07560,
023,0.099905,0.033378,0.24151,0.07520,
024,0.096162,0.031533,0.23893,0.07440,
025,0.095187,0.031578,0.23945,0.07460,
026,0.093803,0.031511,0.23858,0.07300,
027,0.093013,0.031111,0.23865,0.07440,
028,0.090391,0.030400,0.24309,0.07180,
029,0.090525,0.029622,0.23999,0.07380,
030,0.089251,0.029333,0.24160,0.07260,
,,,,,0.08470
